"dteday","mnth","holiday","weekday","workingday","weathersit","temp","hum","windspeed","cnt"
"5/24/2011",5,0,2,1,"cloudy",27.06,74.0833,13.875164,4492
"5/25/2011",5,0,3,1,"clear",27.094153,69.625,10.333611,4978
"5/26/2011",5,0,4,1,"clear",29.041653,67.75,13.376014,4677
"5/27/2011",5,0,5,1,"clear",27.948347,65.375,16.125493,4679
"5/28/2011",5,0,6,0,"clear",26.889153,72.9583,15.416164,4758
"5/29/2011",5,0,0,0,"clear",27.3675,81.875,14.333846,4788
"5/30/2011",5,1,1,0,"clear",30.066653,68.5,8.792075,4098
"5/31/2011",5,0,2,1,"clear",31.775,63.6667,7.459043,3982
"6/1/2011",6,0,3,1,"cloudy",31.330847,67.7083,13.875164,3974
"6/2/2011",6,0,4,1,"clear",29.315,30.5,19.583229,4968
"6/3/2011",6,0,5,1,"clear",25.42,35.4167,16.959107,5312
"6/4/2011",6,0,6,0,"clear",26.035,45.625,8.250514,5342
"6/5/2011",6,0,0,0,"cloudy",26.581653,65.25,9.292364,4906
"6/6/2011",6,0,1,1,"clear",27.811653,60,8.167032,4548
"6/7/2011",6,0,2,1,"clear",29.0075,59.7917,12.583136,4833
"6/8/2011",6,0,3,1,"clear",31.809153,62.2083,9.166739,4401
"6/9/2011",6,0,4,1,"cloudy",33.141653,56.8333,10.042161,3915
"6/10/2011",6,0,5,1,"clear",30.955,60.5,9.417118,4586
"6/11/2011",6,0,6,0,"clear",29.725,65.4583,10.37495,4966
"6/12/2011",6,0,0,0,"clear",28.3925,74.7917,10.958989,4460
"6/13/2011",6,0,1,1,"clear",26.035,49.4583,20.45845,5020
"6/14/2011",6,0,2,1,"clear",24.770847,50.7083,18.041961,4891
"6/15/2011",6,0,3,1,"clear",25.693347,47.1667,11.250104,5180
"6/16/2011",6,0,4,1,"cloudy",25.761653,68.8333,13.833557,3767
"6/17/2011",6,0,5,1,"clear",26.615847,73.5833,9.582943,4844
"6/18/2011",6,0,6,0,"clear",28.563347,67.0417,8.000336,5119
"6/19/2011",6,0,0,0,"cloudy",28.665847,66.6667,6.834,4744
"6/20/2011",6,0,1,1,"cloudy",26.035,74.625,10.416825,4010
"6/21/2011",6,0,2,1,"cloudy",27.914153,77.0417,11.458675,4835
"6/22/2011",6,0,3,1,"clear",30.066653,70.75,11.541554,4507
"6/23/2011",6,0,4,1,"cloudy",29.861653,70.3333,15.999868,4790
"6/24/2011",6,0,5,1,"clear",29.690847,57.3333,14.875675,4991
"6/25/2011",6,0,6,0,"clear",28.495,48.3333,14.041257,5202
"6/26/2011",6,0,0,0,"clear",27.88,51.3333,6.3337311,5305
"6/27/2011",6,0,1,1,"cloudy",27.9825,65.8333,7.208396,4708
"6/28/2011",6,0,2,1,"clear",30.510847,63.4167,9.666961,4648
"6/29/2011",6,0,3,1,"clear",29.861653,49.7917,17.542007,5225
"6/30/2011",6,0,4,1,"clear",28.563347,43.4167,12.415904,5515
"7/1/2011",7,0,5,1,"clear",29.6225,39.625,6.874736,5362
"7/2/2011",7,0,6,0,"clear",30.271653,44.4583,7.709154,5119
"7/3/2011",7,0,0,0,"cloudy",29.383347,68.25,15.333486,4649
"7/4/2011",7,1,1,0,"cloudy",29.793347,63.7917,5.4591064,6043
"7/5/2011",7,0,2,1,"clear",30.613347,59.0417,8.459286,4665
"7/6/2011",7,0,3,1,"clear",29.52,74.3333,10.042161,4629
"7/7/2011",7,0,4,1,"clear",30.75,65.125,10.6664,4592
"7/8/2011",7,0,5,1,"cloudy",29.075847,75.7917,15.083643,4040
"7/9/2011",7,0,6,0,"clear",30.066653,60.9167,11.250104,5336
"7/10/2011",7,0,0,0,"clear",30.6475,57.8333,12.292557,4881
"7/11/2011",7,0,1,1,"clear",31.2625,63.5833,18.916579,4086
"7/12/2011",7,0,2,1,"clear",32.560847,55.9167,13.417018,4258
"7/13/2011",7,0,3,1,"clear",30.613347,63.1667,9.790911,4342
"7/14/2011",7,0,4,1,"clear",27.914153,47.625,16.124689,5084
"7/15/2011",7,0,5,1,"clear",27.196653,59.125,12.249811,5538
"7/16/2011",7,0,6,0,"clear",28.153347,58.5,13.958914,5923
"7/17/2011",7,0,0,0,"clear",29.485847,60.4167,16.417211,5302
"7/18/2011",7,0,1,1,"clear",30.613347,65.125,14.458868,4458
"7/19/2011",7,0,2,1,"clear",31.843347,65.0417,8.7502,4541
"7/20/2011",7,0,3,1,"clear",31.501653,70.7083,7.625739,4332
"7/21/2011",7,0,4,1,"cloudy",33.415,69.125,14.875407,3784
"7/22/2011",7,0,5,1,"clear",34.781653,58.0417,8.9177,3387
"7/23/2011",7,0,6,0,"clear",34.815847,50,8.791807,3285
"7/24/2011",7,0,0,0,"clear",34.03,55.0833,11.334457,3606
"7/25/2011",7,0,1,1,"clear",30.476653,75.7083,6.0841561,3840
"7/26/2011",7,0,2,1,"clear",31.638347,54.0833,13.417286,4590
"7/27/2011",7,0,3,1,"clear",31.775,40.2917,12.292021,4656
"7/28/2011",7,0,4,1,"clear",31.945847,58.3333,11.958093,4390
"7/29/2011",7,0,5,1,"clear",34.371653,54.25,11.667246,3846
"7/30/2011",7,0,6,0,"clear",32.970847,46.5833,11.291979,4475
"7/31/2011",7,0,0,0,"clear",33.039153,48.0833,11.042471,4302
"8/1/2011",8,0,1,1,"clear",31.638347,55.0833,10.500039,4266
"8/2/2011",8,0,2,1,"clear",32.116653,49.125,13.79195,4845
"8/3/2011",8,0,3,1,"cloudy",29.998347,65.75,9.084061,3574
"8/4/2011",8,0,4,1,"cloudy",29.11,75.75,13.20905,4576
"8/5/2011",8,0,5,1,"clear",29.144153,63.0833,12.374632,4866
"8/6/2011",8,0,6,0,"cloudy",29.383347,75.5,15.29275,4294
"8/7/2011",8,0,0,0,"clear",30.4425,75.2917,13.499629,3785
"8/8/2011",8,0,1,1,"clear",31.365,59.2083,12.875725,4326
"8/9/2011",8,0,2,1,"clear",31.775,57.0417,10.125107,4602
"8/10/2011",8,0,3,1,"clear",31.433347,42.4167,13.417286,4780
"8/11/2011",8,0,4,1,"clear",29.4175,42.375,11.041332,4792
"8/12/2011",8,0,5,1,"clear",29.041653,41.5,8.416607,4905
"8/13/2011",8,0,6,0,"cloudy",28.119153,72.9583,14.167418,4150
"8/14/2011",8,0,0,0,"cloudy",27.743347,81.75,14.916411,3820
"8/15/2011",8,0,1,1,"clear",27.299153,71.2083,13.999918,4338
"8/16/2011",8,0,2,1,"clear",28.734153,57.8333,15.834043,4725
"8/17/2011",8,0,3,1,"clear",29.656653,57.5417,9.625689,4694
"8/18/2011",8,0,4,1,"clear",29.178347,65.4583,15.624936,3805
"8/19/2011",8,0,5,1,"cloudy",28.085,72.2917,9.333636,4153
"8/20/2011",8,0,6,0,"clear",28.5975,67.4167,6.999289,5191
"8/21/2011",8,0,0,0,"clear",29.144153,77,16.666518,3873
"8/22/2011",8,0,1,1,"clear",28.358347,47,18.54225,4758
"8/23/2011",8,0,2,1,"clear",26.274153,45.5417,9.833121,5895
"8/24/2011",8,0,3,1,"clear",27.606653,60.5,16.958236,5130
"8/25/2011",8,0,4,1,"cloudy",28.050847,77.1667,14.125811,3542
"8/26/2011",8,0,5,1,"clear",28.7,76.125,5.6254875,4661
"8/27/2011",8,0,6,0,"cloudy",27.88,85,25.166339,1115
"8/28/2011",8,0,0,0,"clear",28.989419,56.1765,20.412153,4334
"8/29/2011",8,0,1,1,"clear",26.103347,55.4583,10.708275,4634
"8/30/2011",8,0,2,1,"clear",26.205847,54.8333,8.375536,5204
"8/31/2011",8,0,3,1,"clear",26.923347,59.7917,5.5833311,5058
"9/1/2011",9,0,4,1,"clear",26.855,63.9167,9.500332,5115
"9/2/2011",9,0,5,1,"cloudy",26.376653,72.7083,9.375243,4727
"9/3/2011",9,0,6,0,"clear",27.435847,71.6667,12.416775,4484
"9/4/2011",9,0,0,0,"clear",29.075847,74.2083,13.833289,4940
"9/5/2011",9,1,1,0,"cloudy",27.606653,79.0417,14.250632,3351
"9/6/2011",9,0,2,1,"wet",22.14,88.6957,23.044181,2710
"9/7/2011",9,0,3,1,"wet",24.565847,91.7083,6.5003936,1996
"9/8/2011",9,0,4,1,"wet",25.990433,93.9565,12.914116,1842
"9/9/2011",9,0,5,1,"cloudy",26.65,89.7917,8.333393,3544
"9/10/2011",9,0,6,0,"clear",27.06,75.375,10.291736,5345
"9/11/2011",9,0,0,0,"clear",26.786653,71.375,7.708618,5046
"9/12/2011",9,0,1,1,"clear",26.418268,69.2174,5.957171,4713
"9/13/2011",9,0,2,1,"clear",26.684153,71.25,9.500868,4763
"9/14/2011",9,0,3,1,"clear",27.606653,69.7083,11.2091,4785
"9/15/2011",9,0,4,1,"cloudy",23.6775,70.9167,18.166782,3659
"9/16/2011",9,0,5,1,"cloudy",19.235847,59.0417,11.000261,4760
"9/17/2011",9,0,6,0,"cloudy",20.158347,71.8333,12.708225,4511
"9/18/2011",9,0,0,0,"clear",20.8075,69.5,11.958361,4274
"9/19/2011",9,0,1,1,"cloudy",22.515847,69,10.166714,4539
"9/20/2011",9,0,2,1,"cloudy",23.028347,88.125,9.041918,3641
"9/21/2011",9,0,3,1,"cloudy",24.395,90,6.4590814,4352
"9/22/2011",9,0,4,1,"cloudy",25.761653,90.2083,8.584375,4795
"9/23/2011",9,0,5,1,"cloudy",24.975847,97.25,5.2505689,2395
"9/24/2011",9,0,6,0,"cloudy",24.873347,86.25,5.2516811,5423
"9/25/2011",9,0,0,0,"cloudy",26.000847,84.5,3.3754064,5010
"9/26/2011",9,0,1,1,"cloudy",26.615847,84.8333,7.4169,4630
"9/27/2011",9,0,2,1,"cloudy",26.103347,88.5417,7.917457,4120
"9/28/2011",9,0,3,1,"cloudy",26.035,84.875,9.958143,3907
"9/29/2011",9,0,4,1,"clear",25.283347,69.9167,11.583161,4839
"9/30/2011",9,0,5,1,"clear",23.130847,64.75,13.833825,5202
"10/1/2011",10,0,6,0,"cloudy",16.81,75.375,19.583832,2429
"10/2/2011",10,0,0,0,"cloudy",14.623347,79.1667,14.874871,2918
"10/3/2011",10,0,1,1,"cloudy",15.750847,76.0833,5.5841686,3570
"10/4/2011",10,0,2,1,"clear",19.850847,71,13.792218,4456
"10/5/2011",10,0,3,1,"clear",22.071653,64.7917,11.87575,4826
"10/6/2011",10,0,4,1,"clear",20.260847,62.0833,9.041918,4765
"10/7/2011",10,0,5,1,"clear",20.944153,68.4167,1.5002439,4985
"10/8/2011",10,0,6,0,"clear",21.388347,70.125,3.0420814,5409
"10/9/2011",10,0,0,0,"clear",22.174153,72.75,4.25115,5511
"10/10/2011",10,1,1,0,"clear",23.404153,73.375,2.8343814,5117
"10/11/2011",10,0,2,1,"cloudy",23.233347,80.875,9.583814,4563
"10/12/2011",10,0,3,1,"wet",22.276653,90.625,16.62605,2416
"10/13/2011",10,0,4,1,"cloudy",24.155847,89.6667,9.499729,2913
"10/14/2011",10,0,5,1,"cloudy",22.584153,71.625,15.000161,3644
"10/15/2011",10,0,6,0,"clear",20.773347,48.3333,17.291561,5217
"10/16/2011",10,0,0,0,"clear",20.978347,48.6667,18.875039,5041
"10/17/2011",10,0,1,1,"clear",21.900847,57.9583,11.750393,4570
"10/18/2011",10,0,2,1,"cloudy",21.8325,70.1667,7.375829,4748
"10/19/2011",10,0,3,1,"wet",22.211299,89.5217,16.303713,2424
"10/20/2011",10,0,4,1,"clear",19.509153,63.625,28.292425,4195
"10/21/2011",10,0,5,1,"clear",17.5275,57.4167,14.833532,4304
"10/22/2011",10,0,6,0,"clear",17.3225,62.9167,6.2086689,4308
"10/23/2011",10,0,0,0,"clear",17.288347,74.125,6.6673375,4381
"10/24/2011",10,0,1,1,"clear",18.996653,77.2083,7.959064,4187
"10/25/2011",10,0,2,1,"clear",19.338347,62.2917,11.166086,4687
"10/26/2011",10,0,3,1,"cloudy",19.850847,72.0417,9.959014,3894
"10/27/2011",10,0,4,1,"cloudy",19.27,81.2917,13.250121,2659
"10/28/2011",10,0,5,1,"cloudy",13.564153,58.5833,15.375093,3747
"10/29/2011",10,0,6,0,"wet",10.420847,88.25,23.541857,627
"10/30/2011",10,0,0,0,"clear",13.085847,62.375,11.833339,3331
"10/31/2011",10,0,1,1,"clear",13.94,70.3333,7.12545,3669
"11/1/2011",11,0,2,1,"clear",16.434153,68.375,9.083257,4068
"11/2/2011",11,0,3,1,"clear",15.4775,71.875,5.5001439,4186
"11/3/2011",11,0,4,1,"clear",16.741653,70.2083,9.166739,3974
"11/4/2011",11,0,5,1,"cloudy",16.536653,62.25,18.209193,4046
"11/5/2011",11,0,6,0,"clear",13.393347,51.9167,12.667154,3926
"11/6/2011",11,0,0,0,"clear",14.281653,73.4583,6.1676314,3649
"11/7/2011",11,0,1,1,"clear",16.195,75.875,3.834075,4035
"11/8/2011",11,0,2,1,"clear",16.741653,72.1667,4.6255125,4205
"11/9/2011",11,0,3,1,"clear",16.4,75.8333,4.1671186,4109
"11/10/2011",11,0,4,1,"cloudy",15.58,81.3333,12.667489,2933
"11/11/2011",11,1,5,0,"clear",13.290847,44.625,21.083225,3368
"11/12/2011",11,0,6,0,"clear",14.623347,55.2917,14.208154,4067
"11/13/2011",11,0,0,0,"clear",18.074153,45.8333,18.875307,3717
"11/14/2011",11,0,1,1,"clear",21.73,58.7083,20.541932,4486
"11/15/2011",11,0,2,1,"cloudy",21.73,68.875,13.375411,4195
"11/16/2011",11,0,3,1,"wet",18.723347,93,9.167543,1817
"11/17/2011",11,0,4,1,"cloudy",14.008347,57.5833,20.459254,3053
"11/18/2011",11,0,5,1,"clear",11.240847,41,11.291711,3392
"11/19/2011",11,0,6,0,"clear",13.495847,50.2083,15.041232,3663
"11/20/2011",11,0,0,0,"cloudy",18.996653,68.4583,12.45865,3520
"11/21/2011",11,0,1,1,"wet",18.3475,91,9.249618,2765
"11/22/2011",11,0,2,1,"wet",17.083347,96.25,7.959064,1607
"11/23/2011",11,0,3,1,"cloudy",18.074153,75.7917,22.500275,2566
"11/24/2011",11,1,4,0,"clear",15.306653,54.9167,11.209368,1495
"11/25/2011",11,0,5,1,"clear",15.375,64.375,6.6260186,2792
"11/26/2011",11,0,6,0,"clear",15.409153,68.1667,4.5841936,3068
"11/27/2011",11,0,0,0,"clear",18.825847,69.8333,13.999918,3071
"11/28/2011",11,0,1,1,"clear",20.642598,74.3043,9.522174,3867
"11/29/2011",11,0,2,1,"cloudy",18.791653,83.0833,17.292164,2914
"11/30/2011",11,0,3,1,"clear",13.325,61.3333,18.167586,3613
"12/1/2011",12,0,4,1,"clear",12.8125,52.4583,14.750586,3727
"12/2/2011",12,0,5,1,"clear",12.880847,62.5833,6.750518,3940
"12/3/2011",12,0,6,0,"clear",12.265847,61.2917,6.4174811,3614
"12/4/2011",12,0,0,0,"clear",13.564153,77.5833,5.6252061,3485
"12/5/2011",12,0,1,1,"cloudy",15.819153,82.7083,4.1679561,3811
"12/6/2011",12,0,2,1,"wet",18.9625,94.9583,15.583061,2594
"12/7/2011",12,0,3,1,"wet",16.81,97.0417,17.833725,705
"12/8/2011",12,0,4,1,"clear",10.899153,58,16.083886,3322
"12/9/2011",12,0,5,1,"clear",11.924153,69.5833,5.5420189,3620
"12/10/2011",12,0,6,0,"clear",11.275,50.75,15.625807,3190
"12/11/2011",12,0,0,0,"clear",9.054153,49,4.4582939,2743
"12/12/2011",12,0,1,1,"clear",9.771653,67.0833,4.25115,3310
"12/13/2011",12,0,2,1,"clear",11.5825,59,9.41685,3523
"12/14/2011",12,0,3,1,"cloudy",13.0175,66.375,4.0842061,3740
"12/15/2011",12,0,4,1,"cloudy",17.3225,63.4167,17.958814,3709
"12/16/2011",12,0,5,1,"cloudy",15.375,50.0417,17.458525,3577
"12/17/2011",12,0,6,0,"cloudy",10.591653,56.0833,16.292189,2739
"12/18/2011",12,0,0,0,"clear",9.771653,58.625,11.375193,2431
"12/19/2011",12,0,1,1,"clear",11.343347,63.75,11.584032,3403
"12/20/2011",12,0,2,1,"cloudy",15.819153,59.5417,4.1252436,3750
"12/21/2011",12,0,3,1,"cloudy",17.561653,85.8333,14.8338,2660
"12/22/2011",12,0,4,1,"cloudy",17.356653,75.75,3.167425,3068
"12/23/2011",12,0,5,1,"clear",15.306653,68.625,18.374482,2209
"12/24/2011",12,0,6,0,"clear",12.4025,54.25,12.750368,1011
"12/25/2011",12,0,0,0,"clear",11.266103,68.1304,10.391097,754
"12/26/2011",12,1,1,0,"clear",13.191299,50.6957,16.044155,1317
"12/27/2011",12,0,2,1,"cloudy",13.325,76.25,12.62615,1162
"12/28/2011",12,0,3,1,"clear",12.26433,50.3913,19.695387,2302
"12/29/2011",12,0,4,1,"clear",10.181653,57.4167,8.000604,2423
"12/30/2011",12,0,5,1,"clear",12.778347,63.6667,9.000579,2999
